timestamp,timestamp,timestamp,timestamp,seq_num,tick_type,ask_exchange,bid_exchange,bid_price,bid_size,ask_price,ask_size
2021-06-23 15:06:21.356315684+00:00,2021-06-23 15:06:21.356315684+00:00,2021-06-23 15:06:21.356315684+00:00,2021-06-23 15:06:21.356315684+00:00,430,Q,EDGX,NASDAQ_FUTURES,1.17,172,1.18,22
2021-06-23 15:07:45.324268+00:00,2021-06-23 15:07:45.324268+00:00,2021-06-23 15:07:45.324268+00:00,2021-06-23 15:07:45.324268+00:00,431,Q,EDGX,NASDAQ_FUTURES,1.17,172,1.18,24
2021-06-23 15:08:17.330598555+00:00,2021-06-23 15:08:17.330598555+00:00,2021-06-23 15:08:17.330598555+00:00,2021-06-23 15:08:17.330598555+00:00,432,Q,EDGX,NASDAQ_FUTURES,1.17,173,1.18,24
2021-06-23 15:08:17.330605227+00:00,2021-06-23 15:08:17.330605227+00:00,2021-06-23 15:08:17.330605227+00:00,2021-06-23 15:08:17.330605227+00:00,433,Q,EDGX,NASDAQ_FUTURES,1.17,175,1.18,24
2021-06-23 15:08:17.330653015+00:00,2021-06-23 15:08:17.330653015+00:00,2021-06-23 15:08:17.330653015+00:00,2021-06-23 15:08:17.330653015+00:00,434,Q,EDGX,NASDAQ_FUTURES,1.17,178,1.18,24
2021-06-23 15:08:17.331276981+00:00,2021-06-23 15:08:17.331276981+00:00,2021-06-23 15:08:17.331276981+00:00,2021-06-23 15:08:17.331276981+00:00,435,Q,EDGX,NASDAQ_FUTURES,1.17,177,1.18,24
2021-06-23 15:08:17.360606767+00:00,2021-06-23 15:08:17.360606767+00:00,2021-06-23 15:08:17.360606767+00:00,2021-06-23 15:08:17.360606767+00:00,436,Q,EDGX,NASDAQ_FUTURES,1.17,175,1.18,24
2021-06-23 15:08:17.380317+00:00,2021-06-23 15:08:17.380317+00:00,2021-06-23 15:08:17.380317+00:00,2021-06-23 15:08:17.380317+00:00,437,Q,EDGX,NASDAQ_FUTURES,1.17,176,1.19,68
2021-06-23 15:08:17.380317+00:00,2021-06-23 15:08:17.380317+00:00,2021-06-23 15:08:17.380317+00:00,2021-06-23 15:08:17.380317+00:00,438,Q,EDGX,NASDAQ_FUTURES,1.17,176,1.18,7
2021-06-23 15:08:17.380505255+00:00,2021-06-23 15:08:17.380505255+00:00,2021-06-23 15:08:17.380505255+00:00,2021-06-23 15:08:17.380505255+00:00,439,Q,EDGX,NASDAQ_FUTURES,1.17,176,1.18,24
2021-06-23 15:08:17.410507547+00:00,2021-06-23 15:08:17.410507547+00:00,2021-06-23 15:08:17.410507547+00:00,2021-06-23 15:08:17.410507547+00:00,440,Q,EDGX,NASDAQ_FUTURES,1.17,175,1.19,68
2021-06-23 15:08:17.415569473+00:00,2021-06-23 15:08:17.415569473+00:00,2021-06-23 15:08:17.415569473+00:00,2021-06-23 15:08:17.415569473+00:00,441,Q,EDGX,NASDAQ_FUTURES,1.18,1,1.19,68
2021-06-23 15:08:17.415572550+00:00,2021-06-23 15:08:17.415572550+00:00,2021-06-23 15:08:17.415572550+00:00,2021-06-23 15:08:17.415572550+00:00,442,Q,EDGX,NASDAQ_FUTURES,1.18,2,1.19,68
2021-06-23 15:08:17.415633132+00:00,2021-06-23 15:08:17.415633132+00:00,2021-06-23 15:08:17.415633132+00:00,2021-06-23 15:08:17.415633132+00:00,443,Q,EDGX,NASDAQ_FUTURES,1.18,5,1.19,68
2021-06-23 15:08:17.416049615+00:00,2021-06-23 15:08:17.416049615+00:00,2021-06-23 15:08:17.416049615+00:00,2021-06-23 15:08:17.416049615+00:00,444,Q,EDGX,NASDAQ_FUTURES,1.18,4,1.19,68
2021-06-23 15:08:17.416069014+00:00,2021-06-23 15:08:17.416069014+00:00,2021-06-23 15:08:17.416069014+00:00,2021-06-23 15:08:17.416069014+00:00,445,Q,EDGX,BATS,1.18,4,1.19,68
2021-06-23 15:08:17.416155+00:00,2021-06-23 15:08:17.416155+00:00,2021-06-23 15:08:17.416155+00:00,2021-06-23 15:08:17.416155+00:00,446,Q,EDGX,BATS,1.18,3,1.19,68
2021-06-23 15:08:17.418935489+00:00,2021-06-23 15:08:17.418935489+00:00,2021-06-23 15:08:17.418935489+00:00,2021-06-23 15:08:17.418935489+00:00,447,Q,EDGX,NASDAQ_FUTURES,1.18,4,1.19,68
2021-06-23 15:08:17.450468507+00:00,2021-06-23 15:08:17.450468507+00:00,2021-06-23 15:08:17.450468507+00:00,2021-06-23 15:08:17.450468507+00:00,448,Q,EDGX,NASDAQ_FUTURES,1.18,5,1.19,68
2021-06-23 15:08:17.451515863+00:00,2021-06-23 15:08:17.451515863+00:00,2021-06-23 15:08:17.451515863+00:00,2021-06-23 15:08:17.451515863+00:00,449,Q,EDGX,NASDAQ_FUTURES,1.18,4,1.19,68
2021-06-23 15:08:17.451521957+00:00,2021-06-23 15:08:17.451521957+00:00,2021-06-23 15:08:17.451521957+00:00,2021-06-23 15:08:17.451521957+00:00,450,Q,EDGX,NASDAQ_FUTURES,1.18,1,1.19,68
2021-06-23 15:08:17.477524473+00:00,2021-06-23 15:08:17.477524473+00:00,2021-06-23 15:08:17.477524473+00:00,2021-06-23 15:08:17.477524473+00:00,451,Q,EDGX,NASDAQ_FUTURES,1.18,2,1.19,68
2021-06-23 15:08:17.477611558+00:00,2021-06-23 15:08:17.477611558+00:00,2021-06-23 15:08:17.477611558+00:00,2021-06-23 15:08:17.477611558+00:00,452,Q,EDGX,NASDAQ_FUTURES,1.18,1,1.19,68
2021-06-23 15:08:17.497626512+00:00,2021-06-23 15:08:17.497626512+00:00,2021-06-23 15:08:17.497626512+00:00,2021-06-23 15:08:17.497626512+00:00,453,Q,EDGX,NASDAQ_FUTURES,1.18,2,1.19,68
2021-06-23 15:08:17.497711745+00:00,2021-06-23 15:08:17.497711745+00:00,2021-06-23 15:08:17.497711745+00:00,2021-06-23 15:08:17.497711745+00:00,454,Q,EDGX,NASDAQ_FUTURES,1.18,1,1.19,68
2021-06-23 15:08:17.510796595+00:00,2021-06-23 15:08:17.510796595+00:00,2021-06-23 15:08:17.510796595+00:00,2021-06-23 15:08:17.510796595+00:00,455,Q,EDGX,NASDAQ_FUTURES,1.18,2,1.19,68
2021-06-23 15:08:17.510894901+00:00,2021-06-23 15:08:17.510894901+00:00,2021-06-23 15:08:17.510894901+00:00,2021-06-23 15:08:17.510894901+00:00,456,Q,EDGX,NASDAQ_FUTURES,1.18,1,1.19,68
2021-06-23 15:08:17.523946265+00:00,2021-06-23 15:08:17.523946265+00:00,2021-06-23 15:08:17.523946265+00:00,2021-06-23 15:08:17.523946265+00:00,457,Q,EDGX,NASDAQ_FUTURES,1.18,2,1.19,68
2021-06-23 15:08:17.524033603+00:00,2021-06-23 15:08:17.524033603+00:00,2021-06-23 15:08:17.524033603+00:00,2021-06-23 15:08:17.524033603+00:00,458,Q,EDGX,NASDAQ_FUTURES,1.18,1,1.19,68
2021-06-23 15:08:17.537112018+00:00,2021-06-23 15:08:17.537112018+00:00,2021-06-23 15:08:17.537112018+00:00,2021-06-23 15:08:17.537112018+00:00,459,Q,EDGX,NASDAQ_FUTURES,1.18,2,1.19,68
2021-06-23 15:08:17.537198556+00:00,2021-06-23 15:08:17.537198556+00:00,2021-06-23 15:08:17.537198556+00:00,2021-06-23 15:08:17.537198556+00:00,460,Q,EDGX,NASDAQ_FUTURES,1.18,1,1.19,68
2021-06-23 15:08:17.550335538+00:00,2021-06-23 15:08:17.550335538+00:00,2021-06-23 15:08:17.550335538+00:00,2021-06-23 15:08:17.550335538+00:00,461,Q,EDGX,NASDAQ_FUTURES,1.18,2,1.19,68
2021-06-23 15:08:17.550426997+00:00,2021-06-23 15:08:17.550426997+00:00,2021-06-23 15:08:17.550426997+00:00,2021-06-23 15:08:17.550426997+00:00,462,Q,EDGX,NASDAQ_FUTURES,1.18,1,1.19,68
