timestamp,timestamp,id,tick_type,exchange,price,size
2021-06-23 13:46:00.152000+00:00,2021-06-23 13:46:00.152000+00:00,46,T,FINRA,1.195,49
2021-06-23 13:47:14.976000+00:00,2021-06-23 13:47:14.976000+00:00,47,T,FINRA,1.1995,5
2021-06-23 13:47:17.721000+00:00,2021-06-23 13:47:17.721000+00:00,48,T,FINRA,1.195,1
2021-06-23 13:47:17.777000+00:00,2021-06-23 13:47:17.777000+00:00,14,T,FINRA,1.1914,11
2021-06-23 13:47:25.663000+00:00,2021-06-23 13:47:25.663000+00:00,49,T,FINRA,1.2,1000
2021-06-23 13:47:35.285000+00:00,2021-06-23 13:47:35.285000+00:00,51,T,FINRA,1.195,81
2021-06-23 13:47:35.286000+00:00,2021-06-23 13:47:35.286000+00:00,52,T,FINRA,1.195,19
2021-06-23 13:47:35.286316982+00:00,2021-06-23 13:47:35.286316982+00:00,8,T,NASDAQ_FUTURES,1.195,300
2021-06-23 13:47:35.286842810+00:00,2021-06-23 13:47:35.286842810+00:00,9,T,NASDAQ_FUTURES,1.195,200
2021-06-23 13:47:35.287000+00:00,2021-06-23 13:47:35.287000+00:00,50,T,FINRA,1.1991,681
2021-06-23 13:47:46.155000+00:00,2021-06-23 13:47:46.155000+00:00,53,T,FINRA,1.195,100
2021-06-23 13:47:46.158000+00:00,2021-06-23 13:47:46.158000+00:00,54,T,FINRA,1.195,92
2021-06-23 13:48:42.741890492+00:00,2021-06-23 13:48:42.741890492+00:00,10,T,NASDAQ_FUTURES,1.195,300
2021-06-23 13:48:42.741890492+00:00,2021-06-23 13:48:42.741890492+00:00,11,T,NASDAQ_FUTURES,1.2,1200
2021-06-23 13:48:42.741890492+00:00,2021-06-23 13:48:42.741890492+00:00,12,T,NASDAQ_FUTURES,1.2,100
2021-06-23 13:48:42.741890492+00:00,2021-06-23 13:48:42.741890492+00:00,13,T,NASDAQ_FUTURES,1.2,100
2021-06-23 13:48:42.741890492+00:00,2021-06-23 13:48:42.741890492+00:00,14,T,NASDAQ_FUTURES,1.2,100
2021-06-23 13:48:42.741890492+00:00,2021-06-23 13:48:42.741890492+00:00,15,T,NASDAQ_FUTURES,1.2,200
2021-06-23 13:48:42.741890492+00:00,2021-06-23 13:48:42.741890492+00:00,16,T,NASDAQ_FUTURES,1.2,700
2021-06-23 13:48:42.741890492+00:00,2021-06-23 13:48:42.741890492+00:00,17,T,NASDAQ_FUTURES,1.2,400
2021-06-23 13:48:42.741890492+00:00,2021-06-23 13:48:42.741890492+00:00,18,T,NASDAQ_FUTURES,1.2,100
2021-06-23 13:48:42.741890492+00:00,2021-06-23 13:48:42.741890492+00:00,19,T,NASDAQ_FUTURES,1.2,200
2021-06-23 13:48:42.742009+00:00,2021-06-23 13:48:42.742009+00:00,20,T,EDGX,1.2,700
2021-06-23 13:48:42.742009+00:00,2021-06-23 13:48:42.742009+00:00,21,T,EDGX,1.2,200
2021-06-23 13:48:42.742009+00:00,2021-06-23 13:48:42.742009+00:00,22,T,EDGX,1.2,500
2021-06-23 13:48:42.742009+00:00,2021-06-23 13:48:42.742009+00:00,23,T,EDGX,1.2,14100
2021-06-23 13:48:42.742035346+00:00,2021-06-23 13:48:42.742035346+00:00,3,T,IEX,1.2,200
2021-06-23 13:48:42.742054+00:00,2021-06-23 13:48:42.742054+00:00,8,T,BATS,1.2,500
2021-06-23 13:48:42.742054+00:00,2021-06-23 13:48:42.742054+00:00,9,T,BATS,1.2,300
2021-06-23 13:48:42.742120+00:00,2021-06-23 13:48:42.742120+00:00,24,T,EDGX,1.2,900
2021-06-23 13:48:42.742128+00:00,2021-06-23 13:48:42.742128+00:00,5,T,BYX,1.2,99
2021-06-23 13:48:42.742143+00:00,2021-06-23 13:48:42.742143+00:00,2,T,EDGA,1.2,100
2021-06-23 13:48:42.742187993+00:00,2021-06-23 13:48:42.742187993+00:00,20,T,NASDAQ_FUTURES,1.2,9
2021-06-23 13:48:42.742187993+00:00,2021-06-23 13:48:42.742187993+00:00,21,T,NASDAQ_FUTURES,1.2,42
2021-06-23 13:48:42.742222080+00:00,2021-06-23 13:48:42.742222080+00:00,12,T,Arca,1.2,100
2021-06-23 13:48:42.742222080+00:00,2021-06-23 13:48:42.742222080+00:00,13,T,Arca,1.2,300
2021-06-23 13:48:42.742222080+00:00,2021-06-23 13:48:42.742222080+00:00,14,T,Arca,1.2,100
2021-06-23 13:48:42.742428471+00:00,2021-06-23 13:48:42.742428471+00:00,22,T,NASDAQ_FUTURES,1.2,58
2021-06-23 13:48:42.742428471+00:00,2021-06-23 13:48:42.742428471+00:00,23,T,NASDAQ_FUTURES,1.2,42
2021-06-23 13:48:42.743000+00:00,2021-06-23 13:48:42.743000+00:00,55,T,FINRA,1.2,5000
2021-06-23 13:48:42.753000+00:00,2021-06-23 13:48:42.753000+00:00,56,T,FINRA,1.195,100
2021-06-23 13:48:42.753885696+00:00,2021-06-23 13:48:42.753885696+00:00,15,T,Arca,1.2,100
2021-06-23 13:48:42.753998920+00:00,2021-06-23 13:48:42.753998920+00:00,24,T,NASDAQ_FUTURES,1.2,58
2021-06-23 13:48:42.753998920+00:00,2021-06-23 13:48:42.753998920+00:00,25,T,NASDAQ_FUTURES,1.2,100
2021-06-23 13:48:42.753998920+00:00,2021-06-23 13:48:42.753998920+00:00,26,T,NASDAQ_FUTURES,1.2,142
2021-06-23 13:48:42.754000+00:00,2021-06-23 13:48:42.754000+00:00,57,T,FINRA,1.2,39
2021-06-23 13:48:42.754000+00:00,2021-06-23 13:48:42.754000+00:00,58,T,FINRA,1.2,100
2021-06-23 13:48:42.754000+00:00,2021-06-23 13:48:42.754000+00:00,59,T,FINRA,1.2,61
2021-06-23 13:48:42.754000+00:00,2021-06-23 13:48:42.754000+00:00,60,T,FINRA,1.2,75
2021-06-23 13:48:42.754000+00:00,2021-06-23 13:48:42.754000+00:00,61,T,FINRA,1.2,25
2021-06-23 13:48:42.754433134+00:00,2021-06-23 13:48:42.754433134+00:00,4,T,IEX,1.2,10
2021-06-23 13:48:42.754606749+00:00,2021-06-23 13:48:42.754606749+00:00,27,T,NASDAQ_FUTURES,1.2,100
2021-06-23 13:48:42.754606749+00:00,2021-06-23 13:48:42.754606749+00:00,28,T,NASDAQ_FUTURES,1.2,100
2021-06-23 13:48:42.754607+00:00,2021-06-23 13:48:42.754607+00:00,25,T,EDGX,1.2,253
2021-06-23 13:48:42.755662607+00:00,2021-06-23 13:48:42.755662607+00:00,29,T,NASDAQ_FUTURES,1.2,35
